ID,Action,Severity,Category,Source,Location,Finding,Phase,Why it's bad,Required action
ACT-012,Reduce visual count on Daily Trade Overview (22 visuals) — split into Overview and Detail,low,PBI Report,Synthesis,Trade / Daily Trade Overview,F4,Phase 3: Report Design Optimisation,High,Reduce visual count on Daily Trade Overview (22 visuals) — split into Overview and Detail
ACT-013,Apply same matrix column reduction to all 19 wide matrices across 12 pages,low,PBI Visual,Synthesis,Trade / all 12 pages,F3,Phase 3: Report Design Optimisation,High,Apply same matrix column reduction to all 19 wide matrices across 12 pages
ACT-014,Review and set Time Period <-> Date relationship to oneDirection,low,Semantic Model,Synthesis,Time Period <-> Date relationship,F5,Phase 3: Report Design Optimisation,Medium,Review and set Time Period <-> Date relationship to oneDirection
ACT-015,"Add dim_date_sk_ly, dim_date_sk_lw, dim_date_sk_lm surrogate key columns to technology.serve.dim_date_v2",low,dbt Models,Synthesis,technology.serve.dim_date_v2,F1,Phase 4: DAX Refactoring (Strategic),Critical,"Add dim_date_sk_ly, dim_date_sk_lw, dim_date_sk_lm surrogate key columns to technology.serve.dim_date_v2"
ACT-016,"Add Is_WTD, Is_MTD, Is_HTD, Is_YTD boolean flags to technology.serve.dim_date_v2",low,dbt Models,Synthesis,technology.serve.dim_date_v2,F1,Phase 4: DAX Refactoring (Strategic),Critical,"Add Is_WTD, Is_MTD, Is_HTD, Is_YTD boolean flags to technology.serve.dim_date_v2"
ACT-017,Refactor 204 Last Year measures to use dim_date_sk_ly with TREATAS,low,Semantic Model,Synthesis,@Measures (204 LY measures),F1,Phase 4: DAX Refactoring (Strategic),Critical,Refactor 204 Last Year measures to use dim_date_sk_ly with TREATAS
ACT-018,Refactor 116 Last Week measures to use dim_date_sk_lw,low,Semantic Model,Synthesis,@Measures (116 LW measures),F1,Phase 4: DAX Refactoring (Strategic),Critical,Refactor 116 Last Week measures to use dim_date_sk_lw
ACT-019,Refactor 55 Cover measures — pre-aggregate weekly summary or use CALCULATE with weekly flags,low,Semantic Model,Synthesis,@Measures (55 Cover measures),"F1, F11",Phase 4: DAX Refactoring (Strategic),Critical,Refactor 55 Cover measures — pre-aggregate weekly summary or use CALCULATE with weekly flags
ACT-020,Refactor 51 WTD/MTD/HTD/YTD measures to use boolean flags instead of FILTER(ALL(Date)),low,Semantic Model,Synthesis,@Measures (51 to-date measures),F1,Phase 4: DAX Refactoring (Strategic),High,Refactor 51 WTD/MTD/HTD/YTD measures to use boolean flags instead of FILTER(ALL(Date))
ACT-021,Create weekly_trade_summary dbt model for Cover measure pre-aggregation,low,dbt Models,Synthesis,sales domain,F11,Phase 4: DAX Refactoring (Strategic),High,Create weekly_trade_summary dbt model for Cover measure pre-aggregation
ACT-022,Fix 3 AVOID_BIDIRECTIONAL_RELATIONSHIPS violations,medium,Semantic Model,BPA,3 objects,AVOID_BIDIRECTIONAL_RELATIONSHIPS,,Generates additional SQL round-trips for bidirectional filter propagation. Can double the number of queries per visual.,
ACT-023,Fix 25 DUAL_MODE_TABLES violations,medium,Semantic Model,BPA,25 objects,DUAL_MODE_TABLES,,May trigger unnecessary DirectQuery when Import would suffice. Dual tables are processed twice during refresh.,
ACT-024,Fix 77 FILTER_ALL_ANTIPATTERN violations,medium,Semantic Model,BPA,77 objects,FILTER_ALL_ANTIPATTERN,,Forces full table scan in DirectQuery mode. Each FILTER(ALL) adds an unfiltered subquery to the generated SQL.,
ACT-025,Fix 4 WIDE_TABLES violations,medium,Semantic Model,BPA,4 objects,WIDE_TABLES,,More columns increases bytes read per query. Primarily a cost issue; latency impact depends on whether I/O is the bottleneck.,
ACT-026,Fix 6 MISSING_FORMAT_STRING violations,medium,Semantic Model,BPA,6 objects,MISSING_FORMAT_STRING,,No performance impact. Missing format strings affect display consistency and user experience.,
ACT-027,Fix 571 DAX_COLUMNS_NOT_FULLY_QUALIFIED violations,medium,Semantic Model,BPA,571 objects,DAX_COLUMNS_NOT_FULLY_QUALIFIED,,Readability and maintenance issue. No performance impact but increases risk of errors when columns are renamed.,
ACT-028,Fix 650 UNUSED_COLUMNS_CANDIDATE violations,medium,Semantic Model,BPA,650 objects,UNUSED_COLUMNS_CANDIDATE,,Hidden/unused columns are still included in DirectQuery SQL. Increases read bytes and cost per query.,
ACT-029,Fix 115 IS_AVAILABLE_IN_MDX violations,medium,Semantic Model,BPA,115 objects,IS_AVAILABLE_IN_MDX,,MDX exposure on non-attribute columns forces extra metadata and memory structures. On large DirectQuery models this increases model load time and query overhead.,
ACT-030,Fix 3 TIME_INTEL_ON_DQ violations,medium,Semantic Model,BPA,3 objects,TIME_INTEL_ON_DQ,,Time intelligence functions on DirectQuery tables generate multiple DQ queries per evaluation. On large fact tables this triggers full scans and severe latency.,
ACT-031,Fix 3 CALCULATED_TABLES violations,medium,Semantic Model,BPA,3 objects,CALCULATED_TABLES,,"Calculated tables re-evaluate on every refresh, block query caching, and increase model maintenance overhead.",
ACT-032,Fix 220 SNOWFLAKE_DQ_CHAINS violations,medium,Semantic Model,BPA,220 objects,SNOWFLAKE_DQ_CHAINS,,Multi-hop DirectQuery joins prevent aggregation push-down and force chained subqueries. Each hop adds a nested SQL subquery.,
ACT-033,Fix 11 DATE_TABLE_NOT_MARKED violations,medium,Semantic Model,BPA,11 objects,DATE_TABLE_NOT_MARKED,,Unmarked date tables disable time intelligence optimisations and prevent efficient date filter caching in the storage engine.,
ACT-034,Fix 2 M_FOLDING_BLOCKERS violations,medium,Semantic Model,BPA,2 objects,M_FOLDING_BLOCKERS,,M functions that block query folding force full data pulls from the source instead of pushing transformations server-side.,
ACT-035,Fix 6 E02 (Missing liquid clustering on large curated tables) violations,high,dbt Models,Engineering BPA,6 models,E02,,,Add liquid_clustered_by to the contract YAML with the primary filter columns.
ACT-036,Fix 2 E04 (No WHERE filter on serve view over large fact table) violations,high,dbt Models,Engineering BPA,2 models,E04,,,Add date-based WHERE filter to restrict the scan window.
ACT-037,Fix 6 E05 (Functions on filter columns) violations,high,dbt Models,Engineering BPA,6 models,E05,,,Remove functions from filter columns; pre-compute values in the model instead.
ACT-038,Fix 6 E07 (ROW_NUMBER subselect instead of QUALIFY) violations,medium,dbt Models,Engineering BPA,6 models,E07,,,Replace the ROW_NUMBER subquery pattern with QUALIFY ROW_NUMBER() OVER(...) = 1.
ACT-039,Fix 5 E13 (Hardcoded magic numbers in SQL) violations,low,dbt Models,Engineering BPA,5 models,E13,,,Use dbt variables or named constants for business-rule thresholds.
ACT-040,Fix 2 E15 (Serve view that should be materialised_view) violations,medium,dbt Models,Engineering BPA,2 models,E15,,,Change materialisation from 'view' to 'materialized_view' in the contract YAML.
ACT-041,Fix 1 V03 (Excessive report-level filters) findings in Ranking View of Trade,medium,PBI Report,Visual Analysis,Ranking View of Trade,V03,,18 report-level filters (threshold: 10),Consolidate report-level filters. Move page-specific filters to page level
ACT-042,Fix 1 V08 (Large embedded images) findings in Ranking View of Trade,low,PBI Report,Visual Analysis,Ranking View of Trade,V08,,1 image visual(s),Use URL-referenced images hosted on a CDN instead of embedded images. Compress backgrounds to <200 KB
ACT-043,Fix 5 V01 (Too many visuals per page) findings in Sales,medium,PBI Report,Visual Analysis,Sales,V01,,23 visual containers (threshold: 15),Split into sub-pages or use bookmarks to show/hide groups of visuals
ACT-044,Fix 2 V02 (No date slicer on data-heavy pages) findings in Sales,medium,PBI Report,Visual Analysis,Sales,V02,,Page contains pivotTable visual(s) but no date slicer,Add a date slicer or relative date filter to enable partition pruning on DirectQuery tables
ACT-045,Fix 1 V03 (Excessive report-level filters) findings in Sales,medium,PBI Report,Visual Analysis,Sales,V03,,30 report-level filters (threshold: 10),Consolidate report-level filters. Move page-specific filters to page level
ACT-046,Fix 1 V05 (Auto-refresh or query reduction settings) findings in Sales,medium,PBI Report,Visual Analysis,Sales,V05,,Query reduction settings not fully optimised: Slicer 'Apply' button disabled — each slicer selection immediately fires queries instead of batching; Filter 'Apply' button disabled — each filter change immediately fires queries,In PBI Desktop → File → Options → Report settings → Query reduction: consider disabling cross-highlighting and enabling 'Apply' buttons on slicers and filters to reduce DirectQuery query volume during user interaction.
ACT-047,Fix 1 V06 (Wide tables/matrices) findings in Sales,medium,PBI Report,Visual Analysis,Sales,V06,,table visual 'a4a85c0b88a26d08bbf4' has 11 projected columns (threshold: 10),Reduce column count to essential fields. Use drillthrough pages for detail views
ACT-048,Fix 10 V08 (Large embedded images) findings in Sales,low,PBI Report,Visual Analysis,Sales,V08,,1 image visual(s),Use URL-referenced images hosted on a CDN instead of embedded images. Compress backgrounds to <200 KB
ACT-049,Fix 12 V01 (Too many visuals per page) findings in Trade,medium,PBI Report,Visual Analysis,Trade,V01,,28 visual containers (threshold: 15),Split into sub-pages or use bookmarks to show/hide groups of visuals
ACT-050,Fix 1 V03 (Excessive report-level filters) findings in Trade,medium,PBI Report,Visual Analysis,Trade,V03,,35 report-level filters (threshold: 10),Consolidate report-level filters. Move page-specific filters to page level
ACT-051,Fix 1 V05 (Auto-refresh or query reduction settings) findings in Trade,medium,PBI Report,Visual Analysis,Trade,V05,,Query reduction settings not fully optimised: Cross-highlighting enabled — hovering on visuals generates additional DirectQuery queries; Slicer 'Apply' button disabled — each slicer selection immediately fires queries instead of batching; Filter 'Apply' button disabled — each filter change immediately fires queries,In PBI Desktop → File → Options → Report settings → Query reduction: consider disabling cross-highlighting and enabling 'Apply' buttons on slicers and filters to reduce DirectQuery query volume during user interaction.
ACT-052,Fix 19 V06 (Wide tables/matrices) findings in Trade,medium,PBI Report,Visual Analysis,Trade,V06,,matrix visual '0eac3eb0a1d581031ba4' has 43 projected columns (threshold: 10),Reduce column count to essential fields. Use drillthrough pages for detail views
ACT-053,Fix 12 V08 (Large embedded images) findings in Trade,low,PBI Report,Visual Analysis,Trade,V08,,1 image visual(s),Use URL-referenced images hosted on a CDN instead of embedded images. Compress backgrounds to <200 KB
ACT-054,Fix 74 FILTER_ALL anti-patterns,high,Semantic Model,DAX Audit,74 measures,FILTER_ALL,,FILTER(ALL()) materialises the entire column into memory before filtering row by row. In DirectQuery this generates a full table scan subquery.,"Replace FILTER(ALL(Table[Column]), ...) with REMOVEFILTERS(Table[Column]) and a direct predicate in CALCULATE"
ACT-055,Fix 54 NESTED_CALCULATE anti-patterns,high,Semantic Model,DAX Audit,54 measures,NESTED_CALCULATE,,"Contains 3 CALCULATE calls creating multiple context transitions. In DirectQuery, each nesting level generates an additional SQL subquery.",Extract inner calculations into VAR variables or separate measures to reduce nesting
ACT-056,Fix 108 REPEATED_SUBEXPRESSION anti-patterns,medium,Semantic Model,DAX Audit,108 measures,REPEATED_SUBEXPRESSION,,"Without VAR, the same subexpression is recalculated every time it appears, potentially doubling or tripling query cost.",Use VAR to capture the repeated expression and reference the variable instead
ACT-057,Fix 12 MISSING_FORMAT_STRING anti-patterns,medium,Semantic Model,DAX Audit,12 measures,MISSING_FORMAT_STRING,,"Without an explicit format string, PBI uses raw floating-point display, causing inconsistencies across visuals.","Add a formatString (e.g. '#,0.00' for numbers, '0.0%' for percentages, '#,0' for integers)"
ACT-058,Fix 14 DIVIDE_CALC anti-patterns,medium,Semantic Model,DAX Audit,14 measures,DIVIDE_CALC,,"DIVIDE(CALCULATE(...), ...) forces the engine to evaluate the CALCULATE separately from the denominator, preventing single-pass aggregation. Each part generates its own DQ query.","Use VAR to pre-compute CALCULATE result, then DIVIDE the variable"
ACT-059,Fix 571 UNQUALIFIED_COLUMNS anti-patterns,low,Semantic Model,DAX Audit,571 measures,UNQUALIFIED_COLUMNS,,Unqualified column names can resolve ambiguously when tables share column names.,Use 'TableName'[ColumnName] instead of bare [ColumnName]
ACT-060,Fix 212 NO_VARIABLES anti-patterns,low,Semantic Model,DAX Audit,212 measures,NO_VARIABLES,,"Without VAR, intermediate calculations may be re-evaluated multiple times. VARs guarantee single evaluation.",Use VAR/RETURN pattern to name intermediate calculations for readability and potential performance gains
ACT-061,Fix 38 HARDCODED_VALUES anti-patterns,low,Semantic Model,DAX Audit,38 measures,HARDCODED_VALUES,,Hardcoded literals make measures fragile and hard to maintain. Changes require editing each measure individually.,Extract hardcoded values to a parameter table or separate measure for maintainability
