ID,Action,Severity,Category,Source,Location,Finding,Phase,Why it's bad,Required action
ACT-011,Create pre-aggregated materialised view for daily trade metrics,low,dbt Models,Synthesis,New materialised view in sales.serve,RCA-01,Phase 3 — Strategic Investments (1-2 months),10-100x row reduction for aggregate visuals,Create pre-aggregated materialised view for daily trade metrics
ACT-012,Refactor Average Weekly Cover measures to use pre-computed aggregates,low,Semantic Model,Synthesis,@Measures (55 measures),RCA-02,Phase 3 — Strategic Investments (1-2 months),Eliminates SUMX cost for weekly cover calculations,Refactor Average Weekly Cover measures to use pre-computed aggregates
ACT-013,Reduce matrix visual column counts across 19 wide matrices,low,PBI Report,Synthesis,19 matrices across 12 pages (worst: 43 columns),RCA-05,Phase 3 — Strategic Investments (1-2 months),Reduce bytes read per visual,Reduce matrix visual column counts across 19 wide matrices
ACT-014,Mark Date table as Date Table and disable auto date/time,low,Semantic Model,Synthesis,Date (dim_date_v2),RCA-11,Phase 3 — Strategic Investments (1-2 months),Enables auto time intelligence optimisations,Mark Date table as Date Table and disable auto date/time
ACT-015,Disable isAvailableInMdx for internal helper measures,low,Semantic Model,Synthesis,115 measures,RCA-10,Phase 3 — Strategic Investments (1-2 months),Reduces metadata overhead,Disable isAvailableInMdx for internal helper measures
ACT-016,Fix 3 AVOID_BIDIRECTIONAL_RELATIONSHIPS violations,medium,Semantic Model,BPA,3 objects,AVOID_BIDIRECTIONAL_RELATIONSHIPS,,Generates additional SQL round-trips for bidirectional filter propagation. Can double the number of queries per visual.,
ACT-017,Fix 25 DUAL_MODE_TABLES violations,medium,Semantic Model,BPA,25 objects,DUAL_MODE_TABLES,,May trigger unnecessary DirectQuery when Import would suffice. Dual tables are processed twice during refresh.,
ACT-018,Fix 77 FILTER_ALL_ANTIPATTERN violations,medium,Semantic Model,BPA,77 objects,FILTER_ALL_ANTIPATTERN,,Forces full table scan in DirectQuery mode. Each FILTER(ALL) adds an unfiltered subquery to the generated SQL.,
ACT-019,Fix 4 WIDE_TABLES violations,medium,Semantic Model,BPA,4 objects,WIDE_TABLES,,More columns increases bytes read per query. Primarily a cost issue; latency impact depends on whether I/O is the bottleneck.,
ACT-020,Fix 6 MISSING_FORMAT_STRING violations,medium,Semantic Model,BPA,6 objects,MISSING_FORMAT_STRING,,No performance impact. Missing format strings affect display consistency and user experience.,
ACT-021,Fix 571 DAX_COLUMNS_NOT_FULLY_QUALIFIED violations,medium,Semantic Model,BPA,571 objects,DAX_COLUMNS_NOT_FULLY_QUALIFIED,,Readability and maintenance issue. No performance impact but increases risk of errors when columns are renamed.,
ACT-022,Fix 650 UNUSED_COLUMNS_CANDIDATE violations,medium,Semantic Model,BPA,650 objects,UNUSED_COLUMNS_CANDIDATE,,Hidden/unused columns are still included in DirectQuery SQL. Increases read bytes and cost per query.,
ACT-023,Fix 115 IS_AVAILABLE_IN_MDX violations,medium,Semantic Model,BPA,115 objects,IS_AVAILABLE_IN_MDX,,MDX exposure on non-attribute columns forces extra metadata and memory structures. On large DirectQuery models this increases model load time and query overhead.,
ACT-024,Fix 3 TIME_INTEL_ON_DQ violations,medium,Semantic Model,BPA,3 objects,TIME_INTEL_ON_DQ,,Time intelligence functions on DirectQuery tables generate multiple DQ queries per evaluation. On large fact tables this triggers full scans and severe latency.,
ACT-025,Fix 3 CALCULATED_TABLES violations,medium,Semantic Model,BPA,3 objects,CALCULATED_TABLES,,"Calculated tables re-evaluate on every refresh, block query caching, and increase model maintenance overhead.",
ACT-026,Fix 220 SNOWFLAKE_DQ_CHAINS violations,medium,Semantic Model,BPA,220 objects,SNOWFLAKE_DQ_CHAINS,,Multi-hop DirectQuery joins prevent aggregation push-down and force chained subqueries. Each hop adds a nested SQL subquery.,
ACT-027,Fix 11 DATE_TABLE_NOT_MARKED violations,medium,Semantic Model,BPA,11 objects,DATE_TABLE_NOT_MARKED,,Unmarked date tables disable time intelligence optimisations and prevent efficient date filter caching in the storage engine.,
ACT-028,Fix 2 M_FOLDING_BLOCKERS violations,medium,Semantic Model,BPA,2 objects,M_FOLDING_BLOCKERS,,M functions that block query folding force full data pulls from the source instead of pushing transformations server-side.,
ACT-029,Fix 6 E02 (Missing liquid clustering on large curated tables) violations,high,dbt Models,Engineering BPA,6 models,E02,,,Add liquid_clustered_by to the contract YAML with the primary filter columns.
ACT-030,Fix 2 E04 (No WHERE filter on serve view over large fact table) violations,high,dbt Models,Engineering BPA,2 models,E04,,,Add date-based WHERE filter to restrict the scan window.
ACT-031,Fix 6 E05 (Functions on filter columns) violations,high,dbt Models,Engineering BPA,6 models,E05,,,Remove functions from filter columns; pre-compute values in the model instead.
ACT-032,Fix 6 E07 (ROW_NUMBER subselect instead of QUALIFY) violations,medium,dbt Models,Engineering BPA,6 models,E07,,,Replace the ROW_NUMBER subquery pattern with QUALIFY ROW_NUMBER() OVER(...) = 1.
ACT-033,Fix 5 E13 (Hardcoded magic numbers in SQL) violations,low,dbt Models,Engineering BPA,5 models,E13,,,Use dbt variables or named constants for business-rule thresholds.
ACT-034,Fix 2 E15 (Serve view that should be materialised_view) violations,medium,dbt Models,Engineering BPA,2 models,E15,,,Change materialisation from 'view' to 'materialized_view' in the contract YAML.
ACT-035,Fix 12 V01 (Too many visuals per page) findings in Trade,medium,PBI Report,Visual Analysis,Trade,V01,,28 visual containers (threshold: 15),Split into sub-pages or use bookmarks to show/hide groups of visuals
ACT-036,Fix 1 V03 (Excessive report-level filters) findings in Trade,medium,PBI Report,Visual Analysis,Trade,V03,,35 report-level filters (threshold: 10),Consolidate report-level filters. Move page-specific filters to page level
ACT-037,Fix 1 V05 (Auto-refresh or query reduction settings) findings in Trade,medium,PBI Report,Visual Analysis,Trade,V05,,Query reduction settings not fully optimised: Cross-highlighting enabled — hovering on visuals generates additional DirectQuery queries; Slicer 'Apply' button disabled — each slicer selection immediately fires queries instead of batching; Filter 'Apply' button disabled — each filter change immediately fires queries,In PBI Desktop → File → Options → Report settings → Query reduction: consider disabling cross-highlighting and enabling 'Apply' buttons on slicers and filters to reduce DirectQuery query volume during user interaction.
ACT-038,Fix 19 V06 (Wide tables/matrices) findings in Trade,medium,PBI Report,Visual Analysis,Trade,V06,,matrix visual '0eac3eb0a1d581031ba4' has 43 projected columns (threshold: 10),Reduce column count to essential fields. Use drillthrough pages for detail views
ACT-039,Fix 12 V08 (Large embedded images) findings in Trade,low,PBI Report,Visual Analysis,Trade,V08,,1 image visual(s),Use URL-referenced images hosted on a CDN instead of embedded images. Compress backgrounds to <200 KB
ACT-040,Fix 74 FILTER_ALL anti-patterns,high,Semantic Model,DAX Audit,74 measures,FILTER_ALL,,FILTER(ALL()) materialises the entire column into memory before filtering row by row. In DirectQuery this generates a full table scan subquery.,"Replace FILTER(ALL(Table[Column]), ...) with REMOVEFILTERS(Table[Column]) and a direct predicate in CALCULATE"
ACT-041,Fix 54 NESTED_CALCULATE anti-patterns,high,Semantic Model,DAX Audit,54 measures,NESTED_CALCULATE,,"Contains 3 CALCULATE calls creating multiple context transitions. In DirectQuery, each nesting level generates an additional SQL subquery.",Extract inner calculations into VAR variables or separate measures to reduce nesting
ACT-042,Fix 108 REPEATED_SUBEXPRESSION anti-patterns,medium,Semantic Model,DAX Audit,108 measures,REPEATED_SUBEXPRESSION,,"Without VAR, the same subexpression is recalculated every time it appears, potentially doubling or tripling query cost.",Use VAR to capture the repeated expression and reference the variable instead
ACT-043,Fix 12 MISSING_FORMAT_STRING anti-patterns,medium,Semantic Model,DAX Audit,12 measures,MISSING_FORMAT_STRING,,"Without an explicit format string, PBI uses raw floating-point display, causing inconsistencies across visuals.","Add a formatString (e.g. '#,0.00' for numbers, '0.0%' for percentages, '#,0' for integers)"
ACT-044,Fix 14 DIVIDE_CALC anti-patterns,medium,Semantic Model,DAX Audit,14 measures,DIVIDE_CALC,,"DIVIDE(CALCULATE(...), ...) forces the engine to evaluate the CALCULATE separately from the denominator, preventing single-pass aggregation. Each part generates its own DQ query.","Use VAR to pre-compute CALCULATE result, then DIVIDE the variable"
ACT-045,Fix 571 UNQUALIFIED_COLUMNS anti-patterns,low,Semantic Model,DAX Audit,571 measures,UNQUALIFIED_COLUMNS,,Unqualified column names can resolve ambiguously when tables share column names.,Use 'TableName'[ColumnName] instead of bare [ColumnName]
ACT-046,Fix 212 NO_VARIABLES anti-patterns,low,Semantic Model,DAX Audit,212 measures,NO_VARIABLES,,"Without VAR, intermediate calculations may be re-evaluated multiple times. VARs guarantee single evaluation.",Use VAR/RETURN pattern to name intermediate calculations for readability and potential performance gains
ACT-047,Fix 38 HARDCODED_VALUES anti-patterns,low,Semantic Model,DAX Audit,38 measures,HARDCODED_VALUES,,Hardcoded literals make measures fragile and hard to maintain. Changes require editing each measure individually.,Extract hardcoded values to a parameter table or separate measure for maintainability
